Field name,Type [1]_,Format,Description
**UAECMR_ACT**,M,, (beginning of the document)
**ACT**,M,, (beginning of the document content)
**ExchangedDocumentContext**,M,, Technical data (beginning of block)
ram:SpecifiedTransactionID,M,string, Version number of the document (transaction) in the document signing chain
**ram:BusinessProcessSpecifiedDocumentContextParameter**,M,,Document context parameter defined by the business process (beginning of block)
ram:ID,M,string,Document code
**ram:BusinessProcessSpecifiedDocumentContextParameter**,,,Document context parameter defined by the business process (end of block)
**ram:GuidelineSpecifiedDocumentContextParameter**,M,,Context parameter of the defined document (beginning of block)
ram:ID,M,unsignedByte,Document subtype
**ram:GuidelineSpecifiedDocumentContextParameter**,,,Context parameter of the defined document (end of block)
**ExchangedDocumentContext**,,, Technical data (end of block)
**ExchangedDocument**,M,, Details of the Act (beginning of block)
ram:ID,M,string,Document number
**ram:IssueDateTime**,M,,Date and time of drafting the document (beginning of block)
**udt:DateTime**,,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00), Date and time of drafting the Act
**ram:IssueDateTime**,,, Date and time of drafting the document (end of block)
ram:Remarks,O,string, Other notes
**ram:IssueLogisticsLocation**,M,, Place of compilation of the document (beginning of block)
ram:Name,M,string, Name of the place of drafting of the Act
ram:Description,M,string, Description (address) of the place of drafting the Act
**ram:IssueLogisticsLocation**,,, Place of compilation of the document (end of block)
**ExchangedDocument**,,, Details of the Act (end of block)
**ReloadActPayload**,M,, Information about the Act (beginning of block)
**PreviousAdministrativeReferencedDocument**,M,, Information about e-TTN for which the act is drafting (beginning of block)
ram:TypeCode,M,string, Document type (730 - TTN). `Document code directory <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__
ram:ID,M,string,Basic document number (TTN); must correspond to the document number ExchangedDocument.ID eTTN
**ram:FormattedIssueDateTime**,M,, Date of the basic document (TTN); must correspond to the date of the document ExchangedDocument.IssueDateTime e-TTN (beginning of block)
qdt:DateTimeString,M,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00), Date and time of the basic document (TTN)
**ram:FormattedIssueDateTime**,,, Date of the basic document (TTN); must correspond to the date of the document ExchangedDocument.IssueDateTime e-TTN (end of block)
**ram:AttachedSpecifiedBinaryFile**,M,, e-TTN data for which the act is drafting (beginning of block)
ram:ID,M,string,Identifier (guid) of the basic document (TTN); must correspond to document.id eTTN in the Central Base (value **ettnId** from the method `Getting a list of events from the Central Base <https://wiki.edin.ua/uk/latest/API_ETTNv3_1/Methods/MintransEvents.html>`__ = value of **external_doc_id** `Retrieving meta-data of the document <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Methods/GetDocument.html>`__)
ram:URIID,O,string, link to the document
ram:MIMECode,O,string, `MIME typing <https://uk.wikipedia.org/wiki/MIME_%D1%82%D0%B8%D0%BF>`__
ram:SizeMeasure,O,long, file size in bytes
**ram:AttachedSpecifiedBinaryFile**,,, e-TTN data for which the act is drafting (end of block)
**PreviousAdministrativeReferencedDocument**,,,"Information about e-TTN, for which the act is drafting (end of block)"
**PreviousAdministrativeReferencedDocument**,-/M,,"Information about the previous act, in the case of the next transaction (beginning of block)"
ram:TypeCode,M,string, Document type. `Document code directory <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__
ram:ID,M,string, Number of the basic document (Act); must correspond to the document number ExchangedDocument.ID of the Act
**ram:FormattedIssueDateTime**,M,, Date of the basic document (Act); must correspond to the date of the ExchangedDocument.IssueDateTime Act (beginning of block)
qdt:DateTimeString,M,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00), Date and time of the basic document (Act)
**ram:FormattedIssueDateTime**,,, Date of the basic document (Act); must correspond to the date of the ExchangedDocument.IssueDateTime Act (end of block)
**PreviousAdministrativeReferencedDocument**,,,"Information about the previous act, in the case of the next transaction (end of block)"
**CarrierTradeParty**,M,, Carrier delivering cargo (beginning of block)
**ram:ID**,M,, Identification code of the Carrier (beginning of block)
schemeAgencyID,M,string, USREOU
value,M,decimal, Value
**ram:ID**,,, Identification code of the Carrier (end of block)
ram:Name,M,string, Full name of the Carrier
ram:RoleCode,M,string, Participant role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:SpecifiedGovernmentRegistration**,M,,Driver's license / Driver's GLN / GLN of the participating company (block start)
ram:ID,M,string,"* Driver's license series and number. Filled in the format «3 capital Cyrillic letters + 6 numbers without spaces», for example: ``DGJ123456``, ``АБВ123456``
* for ram:TypeCode=DRIVER_GLN - Driver's GLN
* for ram:TypeCode=TRADEPARTY_GLN - GLN of the participating company"
ram:TypeCode,O,string,"Id type code:

* DRIVER_GLN
* TRADEPARTY_GLN"
**ram:SpecifiedGovernmentRegistration**,,,Driver's license / Driver's GLN / GLN of the participating company (the end of the block)
**CarrierTradeParty**,,, Carrier delivering cargo (end of block)
**ConnectingCarrierTradeParty**,M,, Carrier receiving cargo (beginning of block)
**ram:ID**,M,,Identification code of the Carrier. USREOU of a business entity (a legal entity or a natural person - an entrepreneur) or RNTAC of a natural person with whom the consignor concluded a contract for the provision of transport services (beginning of block)
schemeAgencyID,M,string, USREOU
value,M,decimal, Value
**ram:ID**,,, Identification code of the Carrier. USREOU of a business entity (a legal entity or a natural person - an entrepreneur) or RNTAC of a natural person with whom the shipper concluded an agreement for the provision of transport services (end of block)
ram:Name,M,string,"Full name of the Carrier (name of the business entity (legal entity or natural person - entrepreneur) or surname, first name, patronymic of the natural person with whom the consignor concluded an agreement for the provision of transport services)"
ram:RoleCode,M,string, Participant role (Carrier (new) - CH). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,O,, Contacts of the responsible representative (beginning of block)
ram:PersonName,O,string, Full name
**ram:TelephoneUniversalCommunication**,O,, Main phone (beginning of block)
ram:CompleteNumber,O,string, Contacts
**ram:TelephoneUniversalCommunication**,,, Main phone (end of block)
**ram:MobileTelephoneUniversalCommunication**,O,, Mobile phone (beginning of block)
ram:CompleteNumber,O,string, Contacts
**ram:MobileTelephoneUniversalCommunication**,,,Mobile phone (end of block)
**ram:EmailURIUniversalCommunication**,O,, Email address (beginning of block)
ram:CompleteNumber,O,string, Contacts
**ram:EmailURIUniversalCommunication**,,, Email address (end of block)
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (end of block)
**ram:PostalTradeAddress**,M,, Legal address of the Carrier (legal address of a legal entity or address of registration of an individual entrepreneur) (beginning of block)
ram:PostcodeCode,O,string, Index
ram:StreetName,M,string, Address (street name + building number)
ram:CityName,M,string, City (name of settlement)
ram:CountryID,M,string, Country (UA)
ram:CountrySubDivisionName,O,string, Region and district (if available)
**ram:PostalTradeAddress**,,, Legal address of the Carrier (legal address of a legal entity or address of registration of an individual entrepreneur) (end of block)
**ram:SpecifiedGovernmentRegistration**,M,,Driver's license / Driver's GLN / GLN of the participating company (block start)
ram:ID,M,string,"* Driver's license series and number. Filled in the format «3 capital Cyrillic letters + 6 numbers without spaces», for example: ``DGJ123456``, ``АБВ123456``
* for ram:TypeCode=DRIVER_GLN - Driver's GLN
* for ram:TypeCode=TRADEPARTY_GLN - GLN of the participating company"
ram:TypeCode,O,string,"Id type code:

* DRIVER_GLN
* TRADEPARTY_GLN"
**ram:SpecifiedGovernmentRegistration**,,,Driver's license / Driver's GLN / GLN of the participating company (the end of the block)
**ConnectingCarrierTradeParty**,,,Carrier receiving cargo (end of block)
**CarrierUtilizedLogisticsTransportEquipment**,M,, Unloading car (beginning of block)
ram:ID,M,string,"Registration number of the car according to the technical passport

* Ukrainian numbers: must match one of the patterns for car number plates
* Euro numbers: without validation"
**ram:AffixedLogisticsSeal**,O,, Seal number (car) (beginning of block)
ram:ID,O,string, An impression of the seal used to seal the car
**ram:AffixedLogisticsSeal**,,, Seal number (car) (end of block)
**ram:ApplicableNote** (з кодом BRAND),M,, Car brand (beginning of block)
ram:ContentCode,M,string, Code BRAND
ram:Content,M,string, Car brand according to the technical passport
**ram:ApplicableNote** (з кодом BRAND),,, Car brand (end of block)
**ram:ApplicableNote** (з кодом MODEL),M,,Car model (beginning of block)
ram:ContentCode,M,string, Code MODEL
ram:Content,M,string, Car model according to the technical passport
**ram:ApplicableNote** (з кодом MODEL),,, Car model (end of block)
**CarrierUtilizedLogisticsTransportEquipment**,,, Unloading car (end of block)
**CarrierUtilizedLogisticsTransportEquipment** (CategoryCode=TE),O,, Unloading trailer/semi-trailer (beginning of block)
ram:ID,O,string,"Registration number of the trailer/semi-trailer according to the technical passport

* Ukrainian plates: must correspond to one of the patterns for car license plates
* Euro plates: without validation"
ram:CategoryCode,O,string, Code TE - Trailer/semi-trailer
ram:CharacteristicCode,O,string,"Identification code Trailer/semi-trailer:

* 14 - Trailer
* 17 - Semi-trailer"
**ram:AffixedLogisticsSeal**,O,, Seal number (trailer/semi-trailer) (beginning of block)
ram:ID,O,string,The impression of the seal used to seal the trailer/semi-trailer
**ram:AffixedLogisticsSeal**,,, Seal number (trailer/semi-trailer) (end of block)
**ram:ApplicableNote** (з кодом BRAND),O,, Trailer/semi-trailer brand (beginning of block)
ram:ContentCode,O,string, Code BRAND
ram:Content,O,string, Make of trailer/semi-trailer according to technical data sheet
**ram:ApplicableNote** (з кодом BRAND),,, Trailer/semi-trailer brand (end of block)
**ram:ApplicableNote** (з кодом MODEL),O,, Trailer/semi-trailer model (beginning of block)
ram:ContentCode,O,string, Code MODEL
ram:Content,O,string, The model of the trailer/semi-trailer according to the data sheet
**ram:ApplicableNote** (з кодом MODEL),,, Trailer/semi-trailer model (end of block)
**CarrierUtilizedLogisticsTransportEquipment** (CategoryCode=TE),,, Unloading trailer/semi-trailer (end of block)
**ConnectingCarrierUtilizedLogisticsTransportEquipment**,M,, Loading car (beginning of block)
ram:ID,M,string,"Registration number of the car according to the technical passport

* Ukrainian numbers: must match one of the patterns for car number plates
* Euro numbers: without validation"
